STATS | CPU:   0.0% | RAM:     330 MB | GPU:   3% | VRAM:      42 MB
STATS | CPU:  18.6% | RAM:     350 MB | GPU:   0% | VRAM:      62 MB
STATS | CPU:  10.7% | RAM:     350 MB | GPU:   0% | VRAM:      62 MB
STATS | CPU:  14.6% | RAM:     350 MB | GPU:   2% | VRAM:      62 MB
STATS | CPU:  39.9% | RAM:     352 MB | GPU:  12% | VRAM:      46 MB
STATS | CPU:  30.2% | RAM:     356 MB | GPU:   0% | VRAM:      62 MB
STATS | CPU:  10.7% | RAM:     356 MB | GPU:   4% | VRAM:      62 MB
STATS | CPU:  24.3% | RAM:     356 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:  21.5% | RAM:     355 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:  21.4% | RAM:     355 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:  32.3% | RAM:     355 MB | GPU:   2% | VRAM:      66 MB
STATS | CPU:  32.2% | RAM:     355 MB | GPU:  16% | VRAM:      66 MB
STATS | CPU:  31.2% | RAM:     356 MB | GPU:   9% | VRAM:      66 MB
STATS | CPU:  35.1% | RAM:     356 MB | GPU:  32% | VRAM:      66 MB
STATS | CPU:  17.3% | RAM:     356 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:  18.5% | RAM:     356 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:  15.6% | RAM:     356 MB | GPU:   8% | VRAM:      66 MB
STATS | CPU:  28.3% | RAM:     356 MB | GPU:  18% | VRAM:      66 MB
STATS | CPU:  23.3% | RAM:     356 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:  57.7% | RAM:     356 MB | GPU:  11% | VRAM:      66 MB
STATS | CPU:  13.2% | RAM:     356 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:  42.0% | RAM:     356 MB | GPU:  23% | VRAM:      66 MB
STATS | CPU:  23.7% | RAM:     356 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:   6.8% | RAM:     356 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:  11.7% | RAM:     356 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:  10.7% | RAM:     356 MB | GPU:   0% | VRAM:      66 MB
STATS | CPU:  31.2% | RAM:     346 MB | GPU:  19% | VRAM:      50 MB
STATS | CPU:  48.9% | RAM:     347 MB | GPU:  18% | VRAM:      66 MB
STATS | CPU:  49.8% | RAM:     349 MB | GPU:  21% | VRAM:      50 MB
STATS | CPU:  39.9% | RAM:     350 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  11.7% | RAM:     350 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  40.0% | RAM:     350 MB | GPU:  31% | VRAM:      50 MB
STATS | CPU:  73.2% | RAM:     350 MB | GPU:   9% | VRAM:      50 MB
STATS | CPU:  27.5% | RAM:     350 MB | GPU:  33% | VRAM:      50 MB
STATS | CPU:   8.8% | RAM:     350 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  16.6% | RAM:     350 MB | GPU:  35% | VRAM:      50 MB
STATS | CPU:  32.3% | RAM:     350 MB | GPU:  32% | VRAM:      50 MB
STATS | CPU:  24.2% | RAM:     350 MB | GPU:  32% | VRAM:      50 MB
STATS | CPU:  36.2% | RAM:     350 MB | GPU:  14% | VRAM:      50 MB
STATS | CPU:  46.9% | RAM:     350 MB | GPU:  21% | VRAM:      50 MB
STATS | CPU:  19.4% | RAM:     350 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  31.2% | RAM:     350 MB | GPU:  33% | VRAM:      50 MB
STATS | CPU:  54.5% | RAM:     351 MB | GPU:   4% | VRAM:      50 MB
STATS | CPU:  38.8% | RAM:     351 MB | GPU:  35% | VRAM:      50 MB
STATS | CPU:  28.2% | RAM:     351 MB | GPU:  14% | VRAM:      50 MB
STATS | CPU:  13.6% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  12.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  10.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  17.5% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:   9.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  11.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  10.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  13.6% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  11.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  12.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  12.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  10.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  11.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  11.7% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  15.6% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  23.4% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  35.2% | RAM:     351 MB | GPU:  35% | VRAM:      50 MB
STATS | CPU:  36.1% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  55.7% | RAM:     351 MB | GPU:  35% | VRAM:      50 MB
STATS | CPU:  52.6% | RAM:     351 MB | GPU:  35% | VRAM:      50 MB
STATS | CPU:  54.8% | RAM:     351 MB | GPU:  36% | VRAM:      50 MB
STATS | CPU:  54.5% | RAM:     351 MB | GPU:  35% | VRAM:      50 MB
STATS | CPU:  54.7% | RAM:     351 MB | GPU:  35% | VRAM:      50 MB
STATS | CPU:  50.9% | RAM:     351 MB | GPU:  35% | VRAM:      50 MB
STATS | CPU:  48.8% | RAM:     351 MB | GPU:  35% | VRAM:      50 MB
STATS | CPU:  51.8% | RAM:     351 MB | GPU:  31% | VRAM:      50 MB
STATS | CPU:  37.0% | RAM:     351 MB | GPU:  36% | VRAM:      50 MB
STATS | CPU:  50.7% | RAM:     351 MB | GPU:  35% | VRAM:      50 MB
STATS | CPU:  40.9% | RAM:     351 MB | GPU:   4% | VRAM:      50 MB
STATS | CPU:  38.0% | RAM:     351 MB | GPU:  11% | VRAM:      50 MB
STATS | CPU:  20.5% | RAM:     351 MB | GPU:  32% | VRAM:      50 MB
STATS | CPU:  30.2% | RAM:     351 MB | GPU:  27% | VRAM:      50 MB
STATS | CPU:  39.9% | RAM:     351 MB | GPU:  13% | VRAM:      50 MB
STATS | CPU:  39.0% | RAM:     351 MB | GPU:  39% | VRAM:      50 MB
STATS | CPU:  44.8% | RAM:     351 MB | GPU:  33% | VRAM:      50 MB
STATS | CPU:  21.4% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  15.6% | RAM:     351 MB | GPU:   0% | VRAM:      50 MB
STATS | CPU:  22.4% | RAM:     351 MB | GPU:  18% | VRAM:      50 MB
